순위,책이름,저자,출판사,가격
1,"세네카, 오늘을 빼앗기고 있는 당신에게",루키우스 안나이우스 세네카,논픽션,"16,200원"
2,오디세이아,호메로스,현대지성,"24,300원"
3,"안녕, 피터팬",전경철,이야기장수,"19,800원"
4,그랬다고 적었다,김애란,문학동네,"15,300원"
5,원소 원정대: 118개 캐릭터로 마스터하는 주기율표 공략집,아게도리도리,윌북주니어,"17,820원"
6,니체의 초월자,프리드리히 니체,히읏,"15,210원"
7,싯다르타,헤르만 헤세,민음사,"7,200원"
8,모순,양귀자,쓰다,"11,700원"
9,오뒷세이아,호메로스,을유문화사,"22,500원"
10,사카모토 데이즈 27 더블특전판,스즈키 유우토,대원,"5,850원"
11,최상위권의 비밀,김민지,동양북스(동양books),"17,820원"
12,오디세이아,호메로스,마음이음,"15,120원"
13,투명한 나선,히가시노 게이고,북다,"19,800원"
14,2027 공단기 소방단기 써니 행정법총론 핵심집약,박준철,공단기(에스티유니타스),"30,600원"
15,테오,앨런 레비,오팬하우스,"18,900원"
16,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성,이투스북 ,"17,100원"
17,수족관,유래혁,포스터샵,"15,930원"
18,일리아스,호메로스,마음이음,"15,120원"
19,독서의 기술,고명환,라곰,"17,820원"
20,2027 유휘운 행정법총론 요약노트+기출문제 (요.플.),유휘운,모두공북스,"33,300원"
21,일리아스&오디세이아 세트,호메로스,현대지성,"49,500원"
22,ETS 토익 정기시험 기출문제집 1000 Vol. 5 RC,ETS,YBM(와이비엠),"19,800원"
23,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성,이투스북 ,"16,650원"
24,공부가 결국 너를 지켜줄 거야,임민찬,퍼스트펭귄,"17,820원"
25,ETS 토익 정기시험 기출문제집 1000 Vol. 5 LC,ETS,YBM(와이비엠),"19,800원"
26,2027 공단기 소방단기 써니 행정법총론 기본서,박준철,공단기(에스티유니타스),"39,600원"
27,내면 근력,짐 머피,윌북(willbook),"19,800원"
28,급류,정대건,민음사,"12,600원"
29,당신은 사건 현장에 있습니다,모데스토 가르시아,중앙북스(books),"25,200원"
30,안녕이라 그랬어 (집 에디션),김애란,문학동네,"15,120원"
31,프로젝트 헤일메리,앤디 위어,알에이치코리아(RHK),"19,800원"
32,데미안,헤르만 헤세,민음사,"7,200원"
33,용의자 X의 헌신,히가시노 게이고,재인,"16,920원"
34,나는 왜 네 말이 힘들까,박재연,한빛라이프,"19,800원"
35,"돈, 뜨겁게 사랑하고 차갑게 다루어라",앙드레 코스톨라니,미래의창,"13,500원"
36,절창 切創,구병모,문학동네,"16,200원"
37,찌니주의보,정지아,창비,"15,120원"
38,달러구트 꿈 백화점 0,이미예,팩토리나인,"16,020원"
39,빵충 사육 준수 사항,김혜영,안전가옥,"15,120원"
40,2027 선재국어 신유형 매일 국어 시즌 1,이선재,수비니겨,"16,200원"
41,만화로 보는 5분 한국사,유요,빅피시,"16,920원"
42,나의 첫 번째 부동산 교과서,송희구,서삼독,"20,700원"
43,문해내공,신종호,상상스퀘어,"22,500원"
44,행복할 거야 이래도 되나 싶을 정도로,일홍,부크럼,"16,200원"
45,쇼펜하우어 인생수업 (30만 부 기념 개정증보판),아르투어 쇼펜하우어,하이스트,"15,750원"
46,오뒷세이아,호메로스,숲,"29,700원"
47,Go Go 카카오프렌즈 41 이란,김미영,아울북,"15,210원"
48,부의 갈림길,오건영,포레스트북스,"24,300원"
