no,title,link
0, “스파이더맨 찍으면 사랑에 빠진다?”… 3대째 이어진 ‘커플의 법칙’ ,http://v.daum.net/v/20260813040253651
1," '스파이더맨4', 국내 600만 관객 돌파·美 박스오피스 2주째 정상 ",http://v.daum.net/v/20260811135748050
2, ‘스파이더맨4’ 다 죽어가던 MCU 살린 진짜 히어로…‘둠스데이’ 기대 급부상 ,http://v.daum.net/v/20260812073137336
3, '오디세이' 8일 연속 박스오피스 1위…2위는 '스파이더맨4' ,http://v.daum.net/v/20260813082138519
4," [정태윤의 별달린다] ""브랜드 뉴 피터"" (스파이더맨4 ★★★☆) ",http://v.daum.net/v/20260813090327918
5," ""피터 파커 생일 기념""…600만 돌파 '스파이더맨4', 3주차 굿즈 이벤트 공개 ",http://v.daum.net/v/20260813103040149
6, ‘스파이더맨 4’ 피터 파커 생일 기념 특별 굿즈 이벤트 진행 ,http://v.daum.net/v/20260813100443813
7, ‘스파이더맨:브랜드 뉴 데이’ 624만명 사로잡은 이유 ,http://v.daum.net/v/20260812164730178
8, 600만 관객 사로잡은 '스파이더맨4'…액션 넘어 '성장'으로 관객 울렸다 ,http://v.daum.net/v/20260812100609087
9, ‘오디세이’ 261만·‘스파이더맨’ 639만…극장가 쌍끌이 흥행 [IS차트] ,http://v.daum.net/v/20260813084839340
