평당분양가격,연도,월,지역명
18189.0,2013,12,서울
8111.0,2013,12,부산
8080.0,2013,12,대구
10204.0,2013,12,인천
6098.0,2013,12,광주
8321.0,2013,12,대전
8090.0,2013,12,울산
10855.0,2013,12,경기
7601.0,2013,12,세종
6230.0,2013,12,강원
6589.0,2013,12,충북
6365.0,2013,12,충남
6282.0,2013,12,전북
5678.0,2013,12,전남
6168.0,2013,12,경북
6473.0,2013,12,경남
7674.0,2013,12,제주
17925.0,2014,1,서울
8111.0,2014,1,부산
8080.0,2014,1,대구
10204.0,2014,1,인천
7326.0,2014,1,광주
8321.0,2014,1,대전
8090.0,2014,1,울산
10855.0,2014,1,경기
7600.0,2014,1,세종
6230.0,2014,1,강원
6589.0,2014,1,충북
6365.0,2014,1,충남
6281.0,2014,1,전북
5678.0,2014,1,전남
6168.0,2014,1,경북
6485.0,2014,1,경남
7900.0,2014,1,제주
17925.0,2014,2,서울
9078.0,2014,2,부산
8077.0,2014,2,대구
10408.0,2014,2,인천
7611.0,2014,2,광주
8321.0,2014,2,대전
8090.0,2014,2,울산
10791.0,2014,2,경기
7532.0,2014,2,세종
6230.0,2014,2,강원
6611.0,2014,2,충북
6379.0,2014,2,충남
5946.0,2014,2,전북
5678.0,2014,2,전남
6234.0,2014,2,경북
6502.0,2014,2,경남
7900.0,2014,2,제주
18016.0,2014,3,서울
8965.0,2014,3,부산
8101.0,2014,3,대구
10408.0,2014,3,인천
7346.0,2014,3,광주
8341.0,2014,3,대전
8153.0,2014,3,울산
10784.0,2014,3,경기
7814.0,2014,3,세종
6141.0,2014,3,강원
6625.0,2014,3,충북
6287.0,2014,3,충남
5966.0,2014,3,전북
5696.0,2014,3,전남
6317.0,2014,3,경북
6610.0,2014,3,경남
7900.0,2014,3,제주
18098.0,2014,4,서울
9402.0,2014,4,부산
8267.0,2014,4,대구
10000.0,2014,4,인천
7346.0,2014,4,광주
8341.0,2014,4,대전
8153.0,2014,4,울산
10876.0,2014,4,경기
7908.0,2014,4,세종
6373.0,2014,4,강원
6678.0,2014,4,충북
6552.0,2014,4,충남
6277.0,2014,4,전북
5736.0,2014,4,전남
6412.0,2014,4,경북
6599.0,2014,4,경남
7900.0,2014,4,제주
19446.0,2014,5,서울
9501.0,2014,5,부산
8274.0,2014,5,대구
9844.0,2014,5,인천
7523.0,2014,5,광주
8341.0,2014,5,대전
8153.0,2014,5,울산
10646.0,2014,5,경기
7934.0,2014,5,세종
6350.0,2014,5,강원
6598.0,2014,5,충북
6591.0,2014,5,충남
6306.0,2014,5,전북
5656.0,2014,5,전남
6409.0,2014,5,경북
6610.0,2014,5,경남
7900.0,2014,5,제주
18867.0,2014,6,서울
9453.0,2014,6,부산
8360.0,2014,6,대구
10058.0,2014,6,인천
7659.0,2014,6,광주
8333.0,2014,6,대전
8153.0,2014,6,울산
10266.0,2014,6,경기
8067.0,2014,6,세종
6350.0,2014,6,강원
6587.0,2014,6,충북
6644.0,2014,6,충남
6351.0,2014,6,전북
5609.0,2014,6,전남
6554.0,2014,6,경북
6615.0,2014,6,경남
7914.0,2014,6,제주
18742.0,2014,7,서울
9457.0,2014,7,부산
8360.0,2014,7,대구
9974.0,2014,7,인천
7612.0,2014,7,광주
8333.0,2014,7,대전
8153.0,2014,7,울산
10124.0,2014,7,경기
8067.0,2014,7,세종
6268.0,2014,7,강원
6586.0,2014,7,충북
6805.0,2014,7,충남
6319.0,2014,7,전북
5780.0,2014,7,전남
6556.0,2014,7,경북
6613.0,2014,7,경남
7914.0,2014,7,제주
19274.0,2014,8,서울
9411.0,2014,8,부산
8370.0,2014,8,대구
9973.0,2014,8,인천
7622.0,2014,8,광주
8333.0,2014,8,대전
8493.0,2014,8,울산
10134.0,2014,8,경기
8141.0,2014,8,세종
6268.0,2014,8,강원
6586.0,2014,8,충북
6914.0,2014,8,충남
6436.0,2014,8,전북
5685.0,2014,8,전남
6563.0,2014,8,경북
6606.0,2014,8,경남
7914.0,2014,8,제주
19404.0,2014,9,서울
9258.0,2014,9,부산
8449.0,2014,9,대구
9973.0,2014,9,인천
7802.0,2014,9,광주
8048.0,2014,9,대전
8493.0,2014,9,울산
10501.0,2014,9,경기
8282.0,2014,9,세종
6419.0,2014,9,강원
6584.0,2014,9,충북
6882.0,2014,9,충남
6719.0,2014,9,전북
5804.0,2014,9,전남
6577.0,2014,9,경북
6767.0,2014,9,경남
7833.0,2014,9,제주
19759.0,2014,10,서울
9110.0,2014,10,부산
8403.0,2014,10,대구
10016.0,2014,10,인천
7707.0,2014,10,광주
8038.0,2014,10,대전
8627.0,2014,10,울산
10397.0,2014,10,경기
8527.0,2014,10,세종
6631.0,2014,10,강원
6529.0,2014,10,충북
6831.0,2014,10,충남
6581.0,2014,10,전북
5753.0,2014,10,전남
6778.0,2014,10,경북
6881.0,2014,10,경남
7724.0,2014,10,제주
20242.0,2014,11,서울
9208.0,2014,11,부산
8439.0,2014,11,대구
10020.0,2014,11,인천
7752.0,2014,11,광주
8067.0,2014,11,대전
8891.0,2014,11,울산
10356.0,2014,11,경기
8592.0,2014,11,세종
6365.0,2014,11,강원
6724.0,2014,11,충북
6940.0,2014,11,충남
6583.0,2014,11,전북
5768.0,2014,11,전남
6881.0,2014,11,경북
7125.0,2014,11,경남
7724.0,2014,11,제주
20269.0,2014,12,서울
9208.0,2014,12,부산
8253.0,2014,12,대구
10020.0,2014,12,인천
7748.0,2014,12,광주
8067.0,2014,12,대전
8891.0,2014,12,울산
10379.0,2014,12,경기
8560.0,2014,12,세종
6365.0,2014,12,강원
6743.0,2014,12,충북
6989.0,2014,12,충남
6583.0,2014,12,전북
5784.0,2014,12,전남
6989.0,2014,12,경북
7332.0,2014,12,경남
7739.0,2014,12,제주
20670.0,2015,1,서울
9204.0,2015,1,부산
8327.0,2015,1,대구
10017.0,2015,1,인천
7752.0,2015,1,광주
8067.0,2015,1,대전
8526.0,2015,1,울산
10391.0,2015,1,경기
8560.0,2015,1,세종
6348.0,2015,1,강원
6749.0,2015,1,충북
6976.0,2015,1,충남
6583.0,2015,1,전북
5784.0,2015,1,전남
6992.0,2015,1,경북
7592.0,2015,1,경남
7739.0,2015,1,제주
20670.0,2015,2,서울
9235.0,2015,2,부산
8416.0,2015,2,대구
9876.0,2015,2,인천
7756.0,2015,2,광주
8067.0,2015,2,대전
8526.0,2015,2,울산
10355.0,2015,2,경기
8560.0,2015,2,세종
6350.0,2015,2,강원
6747.0,2015,2,충북
6980.0,2015,2,충남
6583.0,2015,2,전북
5833.0,2015,2,전남
6953.0,2015,2,경북
7588.0,2015,2,경남
7739.0,2015,2,제주
19415.0,2015,3,서울
9279.0,2015,3,부산
8441.0,2015,3,대구
9876.0,2015,3,인천
7861.0,2015,3,광주
8067.0,2015,3,대전
8629.0,2015,3,울산
10469.0,2015,3,경기
8555.0,2015,3,세종
6182.0,2015,3,강원
6783.0,2015,3,충북
7161.0,2015,3,충남
6542.0,2015,3,전북
5825.0,2015,3,전남
6997.0,2015,3,경북
7668.0,2015,3,경남
7826.0,2015,3,제주
18842.0,2015,4,서울
9327.0,2015,4,부산
8446.0,2015,4,대구
9938.0,2015,4,인천
7914.0,2015,4,광주
8145.0,2015,4,대전
9380.0,2015,4,울산
10684.0,2015,4,경기
8546.0,2015,4,세종
6924.0,2015,4,강원
6790.0,2015,4,충북
7017.0,2015,4,충남
6551.0,2015,4,전북
5940.0,2015,4,전남
7006.0,2015,4,경북
7683.0,2015,4,경남
7285.0,2015,4,제주
18367.0,2015,5,서울
9345.0,2015,5,부산
8568.0,2015,5,대구
10551.0,2015,5,인천
7877.0,2015,5,광주
8272.0,2015,5,대전
9192.0,2015,5,울산
10685.0,2015,5,경기
8546.0,2015,5,세종
6846.0,2015,5,강원
6805.0,2015,5,충북
6975.0,2015,5,충남
6556.0,2015,5,전북
6050.0,2015,5,전남
6966.0,2015,5,경북
7717.0,2015,5,경남
7285.0,2015,5,제주
18374.0,2015,6,서울
9515.0,2015,6,부산
8542.0,2015,6,대구
10443.0,2015,6,인천
7881.0,2015,6,광주
8079.0,2015,6,대전
9190.0,2015,6,울산
10573.0,2015,6,경기
8671.0,2015,6,세종
6986.0,2015,6,강원
6682.0,2015,6,충북
6939.0,2015,6,충남
