title,link,thumbnail,sizeheight,sizewidth
넌센스잇 논페이드 데님셔츠 생지데님 오버핏 청남방 데님자켓 점프수트,http://shopping.phinf.naver.net/main_5337646/53376469522.20250305194756.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshopping.phinf.naver.net%2Fmain_5337646%2F53376469522.20250305194756.jpg,500,500
[맨즈해시태그] 남자데님셔츠 청남방 흑청셔츠 셋업,https://image.brandi.co.kr/cproductdetail/2023/09/22/3538056b327fbc41f2ec9b48b95ccfb1.jpg,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fimage.brandi.co.kr%2Fcproductdetail%2F2023%2F09%2F22%2F3538056b327fbc41f2ec9b48b95ccfb1.jpg,1000,1000
벤티 오버 스티치 데님셔츠 3color : 맨즈피플-,https://shop-phinf.pstatic.net/20240101_109/1704093017672nES6e_JPEG/14986697969773051_1274188646.jpeg,https://search.pstatic.net/common/?type=b150&src=https%3A%2F%2Fshop-phinf.pstatic.net%2F20240101_109%2F1704093017672nES6e_JPEG%2F14986697969773051_1274188646.jpeg,1000,1000
프리컷 두꺼운 트윌 데님 지방 쿼터 퀼트 사각형 모음 18 x22 -6피스 6pcs : 브이에스컴퍼니,https://shop-phinf.pstatic.net/20260331_214/1774961168323EH1ur_JPEG/44893566142766011_1681571562.jpg,https://search.pstatic.net/common/?type=b150&src=https%3A%2F%2Fshop-phinf.pstatic.net%2F20260331_214%2F1774961168323EH1ur_JPEG%2F44893566142766011_1681571562.jpg,600,600
[강한나착용/26신상] 셔츠카라 데님 플레어 원피스 (SMOKC2511) : SI 공식 스토어,https://shop-phinf.pstatic.net/20260202_289/1770011841837x1ghM_JPEG/32994177924368622_840475963.jpg,https://search.pstatic.net/common/?type=b150&src=https%3A%2F%2Fshop-phinf.pstatic.net%2F20260202_289%2F1770011841837x1ghM_JPEG%2F32994177924368622_840475963.jpg,900,900
Calvin Klein 프린지 헴 데님 쇼츠 | 블루 | FARFETCH KR,https://cdn-images.farfetch-contents.com/36/41/96/23/36419623_68260891_1000.jpg,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fcdn-images.farfetch-contents.com%2F36%2F41%2F96%2F23%2F36419623_68260891_1000.jpg,1334,1000
[USED] 리버클래시(LIBERCLASSY) 청/데님 팬츠 85 - 사이즈 & 후기 | 무신사,https://image.msscdn.net/thumbnails/images/prd_img/20260304/6076027/detail_6076027_17727649365455_big.jpg?w=1200,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fimage.msscdn.net%2Fthumbnails%2Fimages%2Fprd_img%2F20260304%2F6076027%2Fdetail_6076027_17727649365455_big.jpg%3Fw%3D1200,1440,1200
컬리수 쿨10부 데님팬츠 C212DNG51P,http://shopping.phinf.naver.net/main_5975012/59750123552.20260628072632.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshopping.phinf.naver.net%2Fmain_5975012%2F59750123552.20260628072632.jpg,1000,1000
언탭트 스튜디오(UNTAPPED STUDIO) [2PACK]빈티지 워시드 와이드 데님팬츠 3Color - 사이즈 & 후기 | 무신사,https://image.msscdn.net/thumbnails/images/prd_img/20260121/5918822/detail_5918822_17700186185458_big.jpg?w=1200,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fimage.msscdn.net%2Fthumbnails%2Fimages%2Fprd_img%2F20260121%2F5918822%2Fdetail_5918822_17700186185458_big.jpg%3Fw%3D1200,1440,1200
리틀그라운드 데님인더박스(DM) 레터링데님조끼 : 사라다쇼핑,http://shop1.phinf.naver.net/20260617_69/1781702001624jE44m_JPEG/14525612581453204_315182198.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshop1.phinf.naver.net%2F20260617_69%2F1781702001624jE44m_JPEG%2F14525612581453204_315182198.jpg,750,750
