iter	Passed	Remaining
0	157	157803
1	173	86330
2	186	62116
3	201	50126
4	213	42509
5	224	37141
6	234	33319
7	243	30141
8	250	27577
9	258	25542
10	264	23822
11	271	22393
12	278	21155
13	285	20098
14	292	19201
15	299	18423
16	306	17696
17	312	17046
18	319	16489
19	325	15972
20	332	15498
21	339	15083
22	345	14696
23	353	14356
24	360	14049
25	366	13740
26	373	13457
27	380	13200
28	386	12955
29	393	12723
30	400	12514
31	407	12322
32	414	12134
33	420	11958
34	428	11802
35	434	11645
36	441	11497
37	448	11360
38	455	11229
39	462	11103
40	469	10976
41	476	10858
42	482	10739
43	489	10637
44	496	10536
45	503	10437
46	509	10340
47	516	10249
48	523	10159
49	529	10068
50	536	9992
51	543	9906
52	550	9834
53	557	9761
54	564	9691
55	570	9620
56	577	9549
57	584	9488
58	590	9423
59	597	9363
60	604	9306
61	611	9246
62	617	9190
63	624	9139
64	631	9083
65	638	9038
66	645	8988
67	652	8938
68	659	8893
69	665	8846
70	672	8801
71	679	8755
72	686	8714
73	693	8673
74	699	8631
75	706	8589
76	713	8549
77	720	8512
78	727	8475
79	733	8438
80	740	8401
81	747	8363
82	753	8330
83	760	8292
84	767	8265
85	774	8235
86	781	8203
87	788	8169
88	795	8141
89	802	8110
90	808	8078
91	814	8043
92	821	8013
93	828	7985
94	835	7955
95	841	7927
96	848	7897
97	855	7869
98	861	7841
99	868	7812
100	874	7785
101	881	7757
102	888	7734
103	894	7707
104	901	7683
105	907	7655
106	913	7627
107	920	7605
108	927	7582
109	933	7556
110	940	7533
111	947	7515
112	954	7492
113	961	7475
114	969	7458
115	976	7439
116	982	7417
117	989	7398
118	996	7376
119	1003	7355
120	1010	7338
121	1017	7321
122	1024	7301
123	1031	7286
124	1038	7268
125	1045	7250
126	1052	7233
127	1059	7219
128	1066	7200
129	1073	7181
130	1079	7162
131	1087	7148
132	1093	7130
133	1100	7113
134	1107	7095
135	1113	7076
136	1120	7060
137	1127	7042
138	1134	7024
139	1140	7006
140	1147	6990
141	1154	6973
142	1160	6956
143	1168	6945
144	1175	6932
145	1182	6917
146	1190	6907
147	1197	6895
148	1205	6884
149	1213	6873
150	1220	6861
151	1227	6850
152	1235	6841
153	1244	6834
154	1251	6822
155	1259	6815
156	1267	6806
157	1276	6802
158	1283	6789
159	1292	6783
160	1305	6804
161	1313	6793
162	1321	6784
163	1332	6794
164	1341	6786
165	1348	6773
166	1355	6763
167	1363	6754
168	1372	6750
169	1380	6738
170	1387	6728
171	1396	6720
172	1404	6711
173	1411	6700
174	1418	6688
175	1426	6679
176	1434	6671
177	1443	6665
178	1451	6656
179	1459	6650
180	1467	6638
181	1475	6630
182	1482	6619
183	1490	6608
184	1498	6599
185	1505	6589
186	1513	6580
187	1521	6572
188	1529	6563
189	1536	6552
190	1544	6539
191	1551	6529
192	1558	6518
